f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,objectId,codigo_mun,EXCEL_ID,GlobalID
25873,Villapinzón,0.564971751412429,0.201816347124117,0,5.88235294117647,0.221729490022173,0.291970802919708,1.9047619047619,1.25698324022346,1.20481927710843,2.16998191681736,1.25639832480223,1.44337527757217,1.05599214145383,12,25873,15e818be-a83c-4b36-9b82-ca70c54e2504,2dda4f7c-ed39-4756-977a-990eb0ae413f
25875,Villeta,1.88679245283019,1.35135135135135,3.34928229665072,6.66666666666667,1.92076830732293,2.23964165733483,3.26086956521739,1.77838577291382,3.43074968233799,2.72373540856031,2.68719806763285,2.69210663878725,2.60648442466624,13,25875,9c6331f1-5567-4380-925d-43a0f0783109,bca2b16c-37ce-48a5-917b-4e7c1c983b1d
25878,Viotá,0.606060606060606,1.5748031496063,3.690036900369,3.43137254901961,2.19298245614035,2.33333333333333,3.03030303030303,2.11864406779661,4.50819672131148,5.26315789473684,3.30500472143532,3.55078447563997,2.82298239787446,14,25878,561515c8-1347-4cdf-8800-d86f84150ff9,a4af9432-7db8-491b-8d8a-cb2597b8b0f9
25885,Yacopí,2.84090909090909,2.09923664122137,4.50885668276973,2.41545893719807,2.9810298102981,2.92397660818713,0,1.70648464163823,3.9647577092511,1.81818181818182,2.33333333333333,2.29007633587786,2.7705947543406,15,25885,6df66d6e-d03e-4cd6-a978-c3b9f9973fad,6638b36f-47ef-4c5e-b4f3-cc71d1f09e7c
25898,Zipacón,0,0,2.32558139534884,7.14285714285714,0.555555555555556,0.802139037433155,0,0.50251256281407,1.953125,1,1.21457489878543,1.17845117845118,1.03305785123967,16,25898,8e93de8f-15e6-47b1-8e08-8b64d0a8c901,fa206994-7895-423c-b966-591b9541a7dc
25899,Zipaquirá,2.46913580246914,1.79694519317161,4.11522633744856,1.30434782608696,2.68585131894484,2.54859611231102,2.5065963060686,1.38165798958751,2.72575560912294,2.21674876847291,2.10856886496187,2.12523719165085,2.18850871530019,17,25899,0f25f126-1243-4489-a070-3fa73eacad0c,79471ccb-c684-416d-89a5-d3379b5ad819
25001,Agua de Dios,0,2.32558139534884,0,0,1.98675496688742,1.98675496688742,1.0989010989011,2.12014134275618,4.16666666666667,2.53623188405797,3.12273057371097,3.02480338777979,2.93791574279379,18,25001,aed95ae5-2351-4b88-84e7-13fb917e8983,08cf016e-7964-41f6-a5fe-7a3fe904653e
25019,Albán,5.35714285714286,0.393700787401575,4.67289719626168,4.76190476190476,2.15827338129496,2.28310502283105,2.08333333333333,3.05343511450382,4.1044776119403,1,3.46020761245675,3.09734513274336,2.77777777777778,19,25019,81d55c18-6cfd-4f0e-8ae4-519f86797932,38326b6e-c381-4cd6-b501-3bd12f47bdab
25035,Anapoima,0.917431192660551,0.847457627118644,2.1505376344086,2.53164556962025,1.27906976744186,1.38445154419595,0.847457627118644,1.19940029985008,1.93236714975845,1.53846153846154,1.49359886201991,1.49906308557152,1.45669291338583,20,25035,26ff51ef-d2c5-4752-be97-d9baabfa1bbd,5510101e-1fd9-42e3-8adc-70bdaee1619c
25040,Anolaima,0.909090909090909,1.87793427230047,3.73563218390805,0.78740157480315,2.37010027347311,2.20588235294118,0,0.854700854700855,0.618238021638331,0.442477876106195,0.664451827242525,0.629370629370629,1.35644310474755,21,25040,de3b5095-2f34-4bbf-a8ba-40e4117646d0,e71d5212-98e2-454f-ba9c-0b3f31459f73
